"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"BTN_OPEN";;;
2;"C13,C9,C11";"C_0805_HandSoldering";3;"10uF";;;
3;"HOLE1,HOLE2,HOLE3,HOLE4";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
4;"C5,C3,C4,C6,C7,C8,C14";"C_0805_HandSoldering";7;"100nF";;;
5;"C1,C2";"C_0805_HandSoldering";2;"2pF";;;
6;"C10";"C_0805_HandSoldering";1;"1uF";;;
7;"C12";"C_0805_HandSoldering";1;"22uF";;;
8;"D5";"LED-RGB-5MM_Common_Cathode";1;"LED_RCBG";;;
9;"P1";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"BTN_CALL";;;
10;"P3";"Pin_Header_Straight_2x03";1;"BOOT_SEL_CONN";;;
11;"P5";"Pin_Header_Straight_1x03";1;"PWR_SELECT";;;
12;"P6";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"PWR_SW_CONN";;;
13;"P7";"Pin_Header_Straight_1x04";1;"SWD_CONN";;;
14;"P10";"JST_XH_B04B-XH-A_04x2.50mm_Straight";1;"EXT_LED_CONN";;;
15;"SW1";"SW_SPST_B3U-1000P";1;"RST_BTN";;;
16;"U1";"SOT-23-6";1;"74LVC2G14";;;
17;"U2";"SparkFun-LQFP-48";1;"STM32F103C8Tx";;;
18;"U3";"SOT-223";1;"LD1117S33CTR";;;
19;"Y1";"Crystal_HC49-U_Vertical";1;"8MHz";;;
20;"Q1";"SOT-23";1;"Q_NMOS_DGS";;;
21;"Q2,Q3,Q4";"SOT-23";3;"MMBT3906";;;
22;"R15,R12";"R_0805";2;"82R";;;
23;"R14,R17";"R_0805";2;"10R";;;
24;"R13,R16";"R_0805";2;"15R";;;
25;"R7";"R_0805";1;"240";;;
26;"R1,R2,R8,R5,R4,R3";"R_0805";6;"10k";;;
27;"R9,R10,R11";"R_0805";3;"2k";;;
28;"R6";"R_0805";1;"0R";;;
29;"D4";"Fuse_SMD1206_Wave";1;"LDO-12V";;;
30;"F1";"Fuse_SMD1206_Wave";1;"F_Small";;;
31;"D1";"SMA_Standard";1;"M7";;;
32;"D2";"MiniMELF_Standard";1;"ZENER-MOSFET-GATE";;;
33;"D3";"SMA_Standard";1;"D_Schottky";;;
34;"P8";"ESP8266_CONN";1;"ESP8266_CONN";;;
35;"P9";"conn_usb_B_micro_smd-2";1;"USB_B";;;
36;"G1";"logo_2016";1;"LOGO";;;
37;"CON1";"DC-005";1;"BARREL_JACK";;;
38;"P4";"PhoenixContact_MSTBA-G_04x5.08mm_Angled";1;"LOCK_CONN";;;
